region,n_reversal_days,n_neg_rrp_days,p_neg_given_rev,p_neg_given_non_rev,odds_ratio,or_95_lower,or_95_upper,chi2_p,fisher_p,region_short,region_long
SA1,1238,1167,0.882875605815832,0.7326732673267327,2.7503261882572225,1.7129519682230507,4.415940599700765,2.8724650895430695e-05,7.725671824380302e-05,SA,South Australia
VIC1,856,1107,0.9100467289719626,0.6790890269151139,4.7808441558441555,3.533986938154521,6.4676161068113815,1.7854325174672695e-26,9.753071791443503e-26,VIC,Victoria
NSW1,823,955,0.8432563791008505,0.5058139534883721,5.256170364430188,4.072501038648745,6.783872278417128,6.248030073533413e-40,1.2284580256303218e-39,NSW,New South Wales
QLD1,944,1089,0.8983050847457628,0.610126582278481,5.644536652835408,4.213946533938035,7.560796931950551,1.4105066603065716e-34,5.107660960018979e-32,QLD,Queensland
TAS1,647,539,0.401854714064915,0.4031791907514451,0.994507886230817,0.7992533428040359,1.2374623699481802,1.0,1.0,TAS,Tasmania
